"Algorithm","Sequence (jobs_original)","Makespan (jobs_original)","Sequence (jobs_extended)","Makespan (jobs_extended)"
"NEH","[4,","213","[23, 4, 8, 12, 11, 3, 7, 24, 19, 15, 14, 22, 1, 16, 17, 6, 20, 13, 10, 9, 2, 5, 18,",""
"SPT","[4, 3, 2,","250","[4, 8, 21, 3, 11, 12, 23, 25, 2, 5, 17, 1, 15, 7, 18, 9, 24, 19, 14, 22, 16, 10, 13,",""
